Source;Target;Distance;Direction;Sigma Dist;Sigma Dir;Target Type
SUR09;SUR10;0;14.42444444;0;0.01;1
SUR09;DP;0;88.88833333;0;0.25;1
SUR09;KB;0;111.0338889;0;0.25;1
SUR09;Plum;0;127.9611111;0;0.25;1
SUR10;SUR09;0;194.4377778;0;0.01;1
SUR10;DRC Rbsch;0;316.5225;0;0.25;1
SUR10;RU4A;0;7.247222222;0;0.01;1
SUR10;KB;0;121.3966667;0;0.25;1
RU4A;SUR10;0;187.2494444;0;0.01;1
RU4A;DRC Rbsch;0;310.3355556;0;0.25;1
RU4A;SUR11;0;14.64888889;0;0.01;1
RU4A;DP;0;99.55416667;0;0.25;1
SUR11;RU4A;0;194.6480556;0;0.01;1
SUR11;DRC Rbsch;0;301.6830556;0;0.25;1
SUR11;SUR12;0;51.55416667;0;0.01;1
SUR12;SUR11;0;231.5561111;0;0.01;1
SUR12;DRC Rbsch;0;290.4063889;0;0.25;1
SUR12;Cecilia;0;47.74666667;0;0.25;1
SUR09;SUR10;229.598;0;40000;0;0
SUR10;RU4A;159.918;0;40000;0;0
RU4A;SUR11;180.52;0;40000;0;0
SUR11;SUR12;247.223;0;40000;0;0
